"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: fileName","Param: j"
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1177,416527","15,132027","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,265824","0,101390","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,793173","0,827394","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,807660","2,619719","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"156,131580","16,748920","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"3158,480420","443,601684","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"31516,678780","1559,579943","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,236135","0,097230","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,673827","0,512494","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,227714","4,620080","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,238512","0,026462","ms/op",131072,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,5
